CALENDAR_C;HOLIDAY_D;GLOBAL_F
USD       ;2009-01-01;0
USD       ;2009-01-19;0
USD       ;2009-02-16;0
USD       ;2009-05-25;0
USD       ;2009-07-03;0
USD       ;2009-07-04;0
USD       ;2009-09-07;0
USD       ;2009-10-12;0
USD       ;2009-11-11;0
USD       ;2009-11-26;0
USD       ;2009-12-25;0
USD       ;2010-01-01;0
USD       ;2010-01-18;0
USD       ;2010-02-15;0
USD       ;2010-05-31;0
USD       ;2010-07-05;0
USD       ;2010-09-06;0
USD       ;2010-10-11;0
USD       ;2010-11-11;0
USD       ;2010-11-25;0
USD       ;2011-01-01;0
USD       ;2011-01-17;0
USD       ;2011-02-21;0
USD       ;2011-05-30;0
USD       ;2011-07-04;0
USD       ;2011-09-05;0
USD       ;2011-10-10;0
USD       ;2011-11-11;0
USD       ;2011-11-24;0
USD       ;2011-12-26;0
USD       ;2012-01-02;0
USD       ;2012-01-16;0
USD       ;2012-02-20;0
USD       ;2012-05-28;0
USD       ;2012-07-04;0
USD       ;2012-09-03;0
USD       ;2012-10-08;0
USD       ;2012-11-12;0
USD       ;2012-11-22;0
USD       ;2012-12-25;0
USD       ;2013-01-01;0
USD       ;2013-01-21;0
USD       ;2013-02-18;0
USD       ;2013-05-27;0
USD       ;2013-07-04;0
USD       ;2013-09-02;0
USD       ;2013-10-14;0
USD       ;2013-11-11;0
USD       ;2013-11-28;0
USD       ;2013-12-25;0
USD       ;2014-01-01;0
USD       ;2014-01-20;0
USD       ;2014-02-17;0
USD       ;2014-05-26;0
USD       ;2014-07-04;0
USD       ;2014-09-01;0
USD       ;2014-10-13;0
USD       ;2014-11-11;0
USD       ;2014-11-27;0
USD       ;2014-12-25;0
USD       ;2015-01-01;0
USD       ;2015-01-19;0
USD       ;2015-02-16;0
USD       ;2015-05-25;0
USD       ;2015-07-04;0
USD       ;2015-09-07;0
USD       ;2015-10-12;0
USD       ;2015-11-11;0
USD       ;2015-11-26;0
USD       ;2015-12-25;0
USD       ;2016-01-01;0
USD       ;2016-01-18;0
USD       ;2016-02-15;0
USD       ;2016-05-30;0
USD       ;2016-07-04;0
USD       ;2016-09-05;0
USD       ;2016-10-10;0
USD       ;2016-11-11;0
USD       ;2016-11-24;0
USD       ;2016-12-26;0
USD       ;2017-01-02;0
USD       ;2017-01-16;0
USD       ;2017-02-20;0
USD       ;2017-05-29;0
USD       ;2017-07-04;0
USD       ;2017-09-04;0
USD       ;2017-10-09;0
USD       ;2017-11-11;0
USD       ;2017-11-23;0
USD       ;2017-12-25;0
USD       ;2018-01-01;0
USD       ;2018-01-15;0
USD       ;2018-02-19;0
USD       ;2018-05-28;0
USD       ;2018-07-04;0
USD       ;2018-09-03;0
USD       ;2018-10-08;0
USD       ;2018-11-12;0
USD       ;2018-11-22;0
USD       ;2018-12-25;0
USD       ;2019-01-01;0
USD       ;2019-01-21;0
USD       ;2019-02-18;0
USD       ;2019-05-27;0
USD       ;2019-07-04;0
USD       ;2019-09-02;0
USD       ;2019-10-14;0
USD       ;2019-11-11;0
USD       ;2019-11-28;0
USD       ;2019-12-25;0
USD       ;2020-01-01;0
USD       ;2020-01-20;0
USD       ;2020-02-17;0
USD       ;2020-05-25;0
USD       ;2020-09-07;0
USD       ;2020-10-12;0
USD       ;2020-11-11;0
USD       ;2020-11-26;0
USD       ;2020-12-25;0
USD       ;2021-01-01;0
USD       ;2021-01-18;0
USD       ;2021-02-15;0
USD       ;2021-05-31;0
USD       ;2021-07-05;0
USD       ;2021-09-06;0
USD       ;2021-10-11;0
USD       ;2021-11-11;0
USD       ;2021-11-25;0
USD       ;2022-01-01;0
USD       ;2022-01-17;0
USD       ;2022-02-21;0
USD       ;2022-05-30;0
USD       ;2022-07-04;0
USD       ;2022-09-05;0
USD       ;2022-10-10;0
USD       ;2022-11-11;0
USD       ;2022-11-24;0
USD       ;2022-12-26;0
USD       ;2023-01-02;0
USD       ;2023-01-16;0
USD       ;2023-02-20;0
USD       ;2023-05-29;0
USD       ;2023-07-04;0
USD       ;2023-09-04;0
USD       ;2023-10-09;0
USD       ;2023-11-11;0
USD       ;2023-11-23;0
USD       ;2023-12-25;0
USD       ;2024-01-01;0
USD       ;2024-01-15;0
USD       ;2024-02-19;0
USD       ;2024-05-27;0
USD       ;2024-07-04;0
USD       ;2024-09-02;0
USD       ;2024-10-14;0
USD       ;2024-11-11;0
USD       ;2024-11-28;0
USD       ;2024-12-25;0
JPY       ;2009-01-01;0
JPY       ;2009-01-02;0
JPY       ;2009-01-03;0
JPY       ;2009-01-04;0
JPY       ;2009-01-12;0
JPY       ;2009-02-11;0
JPY       ;2009-03-20;0
JPY       ;2009-04-29;0
JPY       ;2009-05-03;0
JPY       ;2009-05-04;0
JPY       ;2009-05-05;0
JPY       ;2009-05-06;0
JPY       ;2009-07-20;0
JPY       ;2009-09-21;0
JPY       ;2009-09-22;0
JPY       ;2009-09-23;0
JPY       ;2009-10-12;0
JPY       ;2009-11-03;0
JPY       ;2009-11-23;0
JPY       ;2009-12-23;0
JPY       ;2009-12-31;0
JPY       ;2010-01-01;0
JPY       ;2010-01-11;0
JPY       ;2010-02-11;0
JPY       ;2010-03-21;0
JPY       ;2010-03-22;0
JPY       ;2010-04-29;0
JPY       ;2010-05-03;0
JPY       ;2010-05-04;0
JPY       ;2010-05-05;0
JPY       ;2010-07-19;0
JPY       ;2010-09-20;0
JPY       ;2010-09-23;0
JPY       ;2010-10-11;0
JPY       ;2010-11-03;0
JPY       ;2010-11-23;0
JPY       ;2010-12-23;0
JPY       ;2010-12-31;0
JPY       ;2011-01-01;0
